# data/PRJNA608223_runs.txt
# 22 runs from PRJNA608223 used in the manuscript analysis.
# Source: ENA filereport API for accession=PRJNA608223, result=read_run.
# Selection: first 22 runs by accession (see samples_PRJNA608223.csv).
# Original deposit: Sharip et al. 2024, Front. Genet. 15:1249751.
#
# To refresh:
#   curl -sSL 'https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA608223&result=read_run&fields=run_accession,sample_accession,experiment_accession,sample_title,library_layout,library_strategy,read_count,fastq_md5,fastq_bytes&format=tsv'
run_accession	sample_accession	experiment_accession	library_layout	library_strategy
SRR11149635	SAMN14167823	SRX7785739	PAIRED	RNA-Seq
SRR11149636	SAMN14167822	SRX7785738	PAIRED	RNA-Seq
SRR11149637	SAMN14167821	SRX7785737	PAIRED	RNA-Seq
SRR11149638	SAMN14167820	SRX7785736	PAIRED	RNA-Seq
SRR11149639	SAMN14167819	SRX7785735	PAIRED	RNA-Seq
SRR11149640	SAMN14167818	SRX7785734	PAIRED	RNA-Seq
SRR11149641	SAMN14167817	SRX7785733	PAIRED	RNA-Seq
SRR11149642	SAMN14167838	SRX7785732	PAIRED	RNA-Seq
SRR11149643	SAMN14167837	SRX7785731	PAIRED	RNA-Seq
SRR11149644	SAMN14167836	SRX7785730	PAIRED	RNA-Seq
SRR11149645	SAMN14167835	SRX7785729	PAIRED	RNA-Seq
SRR11149646	SAMN14167834	SRX7785728	PAIRED	RNA-Seq
SRR11149647	SAMN14167816	SRX7785727	PAIRED	RNA-Seq
SRR11149648	SAMN14167833	SRX7785726	PAIRED	RNA-Seq
SRR11149649	SAMN14167832	SRX7785725	PAIRED	RNA-Seq
SRR11149650	SAMN14167831	SRX7785724	PAIRED	RNA-Seq
SRR11149651	SAMN14167830	SRX7785723	PAIRED	RNA-Seq
SRR11149652	SAMN14167829	SRX7785722	PAIRED	RNA-Seq
SRR11149653	SAMN14167828	SRX7785721	PAIRED	RNA-Seq
SRR11149654	SAMN14167827	SRX7785720	PAIRED	RNA-Seq
SRR11149655	SAMN14167826	SRX7785719	PAIRED	RNA-Seq
SRR11149656	SAMN14167825	SRX7785718	PAIRED	RNA-Seq
